
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-02-25 09:55:30 /api/health .................................................................... ~ 0.07ms
  2026-02-25 09:55:37 /api/auth/login ................................................................ ~ 0.09ms
  2026-02-25 09:56:06 /api/users ..................................................................... ~ 0.15ms
  2026-02-25 09:56:32 /api/officer/fines ............................................................. ~ 0.17ms
  2026-02-25 09:56:39 /api/fines ..................................................................... ~ 0.30ms
  2026-02-25 09:56:45 /api/fines ..................................................................... ~ 0.23ms
  2026-02-25 09:56:57 /api/fines/1/pay ............................................................... ~ 0.08ms
  2026-02-25 09:57:03 /api/admin/stats ............................................................... ~ 0.26ms
  2026-02-25 09:58:16 /api/admin/stats ............................................................... ~ 0.57ms
